,LinAccMag_max_Mano,LinAccMag_std_Mano,GyroMag_max_Mano,GyroMag_std_Mano,Time_to_peak_Mano,TotalRotation_Mano,RotEnergy_Mano,LinAccMag_max_Antebrazo,LinAccMag_std_Antebrazo,GyroMag_max_Antebrazo,GyroMag_std_Antebrazo,Time_to_peak_Antebrazo,TotalRotation_Antebrazo,RotEnergy_Antebrazo,MaxRelRot_Mano_Antebrazo,Stability_Mano,TimePeakRot_Antebrazo,Nombre Archivo
0,,,998.7302133962583,211.30993773362545,0.6701,1.3228263027823033,4.406871685089913,,,733.6980648699487,152.08191116727744,0.3495,0.7918870154581901,3.8502477907736123,3.1336869621798225,0.7456600774591768,1.0195,Tony_04.csv
1,,,,,,,,3.7091919068172903,0.9538269922593734,739.8813457762415,129.6270585315348,0.2899,1.8123156208873026,2.420509743186374,,,,Joan_13.csv
2,,,504.9459321516903,144.41322770502018,0.6701,1.1101956734247553,2.676635783240976,,,499.32335591303877,104.40393168204588,1.1296,1.9646848358054876,3.3608217216711944,3.133439406481127,0.033708141262539355,1.4496,Tony_01.csv
3,,,,,,,,4.170984218372443,1.2274347279799294,590.4662820643093,151.8528726466825,0.6698,2.108835921823143,3.081929547882437,,,,Joan_07.csv
4,,,,,,,,1.153498122215577,0.23157506775828132,304.6359661963238,94.76591525436295,0.5999,2.016822411264671,2.781758268191846,,,,Joan_20.csv
5,,,,,,,,4.461989367199452,0.9580406058598048,387.6751058566494,96.64884439836322,0.6099,1.0189619576814786,2.0643694744267673,,,,Joan_04.csv
6,7.207289102859714,1.4534094817207717,1191.6689151068322,274.4972413204032,0.88,1.1561848587151702,4.20046070136856,7.056494276059889,1.2308198218401176,674.770102847726,181.87797179769788,0.94,0.7858197348160387,1.3856759994007493,3.1286589678676155,0.3229489485633199,0.9,Joan_18.csv
7,4.86375464466244,1.0108032500694308,681.8052302347845,162.99953611821903,0.4501,1.3003858678018427,2.568210017725976,,,,,,,,,,,Tony_07.csv
8,,,,,,,,4.322387245747144,1.1030508502720155,418.98588547156425,84.32083931557196,0.5302,1.0565093318536907,1.610548026990762,,,,Joan_06.csv
9,5.4575024303234345,1.0609553665381615,783.5876166055691,182.61515350473528,1.23,1.1845717720678108,4.959228838027135,3.389084118548012,0.8019116374840727,483.3459755971836,141.44390995312114,1.2898,0.5649265869046337,2.092844243564561,2.8690762756805284,0.6449540186891567,1.3698,Joan_14.csv
10,,,,,,,,5.2551281589141094,1.2734050598499262,595.3151819515869,136.24190330920553,0.3298,1.1357524602621938,1.557078075905422,,,,Joan_01.csv
11,,,,,,,,4.648479696481774,1.140734920744512,590.0550971539932,147.50412608737764,0.48,0.8798904107167937,2.869410886626091,,,,Joan_10.csv
12,5.91416272322381,1.3142678934659051,598.3225488688732,178.9353010192873,0.15,0.3399323414650082,0.44985668948372454,,,,,,,,,,,Tony_05.csv
13,4.044477195302054,0.9286468598859746,980.5044293071991,180.97341243661705,1.0099,1.4170695608589599,5.080252870247554,4.073926137920421,0.732076035415888,776.1088128745812,121.73674451357292,1.0099,0.6730774136313036,1.5789200822173717,3.1197618893495607,0.21369194054770874,1.2299,Joan_19.csv
14,6.727842384757571,1.3544178155372275,1357.354045146402,241.11886506311154,0.45,1.6325966244674481,4.517377908450034,,,,,,,,,,,Tony_03.csv
15,,,,,,,,4.631879732604864,1.365438621237733,639.0789999895858,134.52396418460373,0.1799,1.4702267638968423,1.9393017755703856,,,,Joan_17.csv
16,5.4852614099585795,1.0952666737994792,867.8099248455019,202.32152948222927,0.2299,1.4210547961443123,1.8326229864803736,,,,,,,,,,,Tony_08.csv
17,,,711.8102036003195,158.1376623278421,0.58,2.0609406170103237,4.924714990815463,,,576.3875347522728,123.69463903296433,0.4103,2.1740717169058708,4.015151309890025,2.887012319971563,0.5330966797843274,1.3303,Tony_06.csv
18,4.982175184190219,0.9595206666454041,1319.7767265238779,271.7763315036378,0.42,2.931012416737469,9.08633658245128,3.6418068165333577,0.8040417417703513,686.477910941043,181.86018511184815,0.3702,2.802162775868214,6.2115870225757766,3.140619581163998,0.5744705932558467,0.7302,Tony_09.csv
19,,,,,,,,4.423761641230674,1.2748574701048365,586.8187730195959,165.9316305438724,0.6702,1.6759388912144386,2.1364133503035507,,,,Joan_16.csv
20,,,,,,,,4.957680095274457,1.1381894717659327,590.6959999600095,169.55532655473797,0.9602,0.8363823248964768,2.30351508718765,,,,Joan_12.csv
21,6.527746587802601,1.1615176454079803,781.2391253502765,204.95526396668373,0.5,1.325004230483717,6.3646059732078015,6.009325809515922,1.0311924748072603,733.964606059756,206.86453702990454,0.3298,1.0833674102996522,2.6097397832896942,3.0725012018783673,0.7035061371035191,0.5898,Joan_09.csv
22,4.660559627148051,0.8428861161348334,809.1898117770376,186.13808464978308,0.99,1.044802429230822,4.170921186869482,4.7530651651672855,0.8625736176975127,698.6963394566502,143.0713364119565,0.8698,0.7548369417265611,1.759493082361162,2.7508186272715576,0.4092112847978635,0.9998,Joan_08.csv
23,,,,,,,,4.654325811883865,0.968983655489824,612.0648055826518,136.9267660478104,0.5301,1.2518646130229183,2.4629150975714893,,,,Joan_05.csv
24,,,1028.2595944896418,173.22818642823333,0.7599,1.8408202798909634,4.791357336295812,,,940.0895153848404,138.19069300740398,0.7198,2.0970954567421165,3.8882621460284836,2.0882360666977715,0.5918875173076287,1.6098,Tony_02.csv
25,,,,,,,,4.919047757444939,1.0850456966743156,697.0833383842977,140.71914181954577,0.75,1.0091371904071509,1.684081447700753,,,,Joan_11.csv
26,,,713.7327017524785,142.63324580999586,0.69,2.2246056771912044,5.22175094259403,,,686.533608494012,138.4187337192895,0.5996,2.4662777843001615,1.788695162551265,2.5868750615819414,0.41667304329024485,0.7896,Tony_10.csv
27,5.843309636552897,1.1707806945570403,695.3397473181096,171.1407831023659,0.71,0.708407624119725,3.6815555084921447,5.2518060454061075,0.9187514039486506,547.1056577223865,148.67297514679322,0.74,0.9316614092223319,2.016020964492044,3.09961544985514,0.750931507003418,0.82,Joan_03.csv
28,,,,,,,,4.252413017749056,1.2088324561486747,614.3197859764721,159.61653625639258,0.5898,1.1701736285142812,2.1005278730068464,,,,Joan_15.csv
29,5.236151357055844,0.9489018811734304,716.8218249701147,151.31858713908912,0.73,1.1710915243796078,3.8646522230932447,4.991793468876378,0.8193805640223627,668.9761153994536,142.2506757302782,0.8799,0.8552929118075897,1.343389350520233,3.000576576050093,0.35849799268099675,1.1099,Joan_02.csv
