,LinAccMag_max_Mano,LinAccMag_std_Mano,GyroMag_max_Mano,GyroMag_std_Mano,Time_to_peak_Mano,TotalRotation_Mano,RotEnergy_Mano,LinAccMag_max_Antebrazo,LinAccMag_std_Antebrazo,GyroMag_max_Antebrazo,GyroMag_std_Antebrazo,Time_to_peak_Antebrazo,TotalRotation_Antebrazo,RotEnergy_Antebrazo,MaxRelRot_Mano_Antebrazo,Stability_Mano,TimePeakRot_Antebrazo,clase_Tiro
0,4.703612096057688,0.9323540649994456,997.1424516130346,177.29286321507877,0.61,1.0444288638461654,5.356436246567867,4.739240237695833,0.7160556610076547,526.8011581383794,118.69757251265517,0.4301,0.7890266628787934,3.4238814904612167,2.1948616077587557,0.5955691091617481,0.8101,0.0
1,6.219496240018777,1.2349624766332512,867.3887189268545,150.84225907747035,0.8901,1.3626595792606175,3.193258537736229,6.1156322690882,1.3478400601777663,869.9742361368914,146.00197700495502,0.95,0.632630060739276,1.0086711991214392,2.0884335146562925,0.5266802775910286,0.8,0.0
2,3.9352437891197516,0.6394874127617248,1073.0518769183175,166.3143970530751,0.82,1.1370260830911139,5.8102454808165795,4.292602876746575,0.695265308302806,517.4763498503632,112.8758541578044,1.13,1.003185227746072,2.5803527463522413,2.618438912626755,0.5584061099132751,0.89,0.0
3,8.884093147301687,1.881716996519673,1112.2586269134981,277.7734219359295,0.89,1.1942394509677061,4.074051360374776,4.8260183402043,1.1358339626648495,683.9299663815432,140.2334932854949,0.5802,1.336719184151048,3.311552645425583,2.358798482957492,0.5323170623531336,0.83802,0.0
4,4.647632857105251,0.7949056435543492,733.9641845219106,136.57012670305403,0.74,1.7829272193032948,5.129809110073712,4.978959931395023,0.9152318327682102,680.1477214865025,131.59992830840775,0.75,1.391553950481445,2.487862396406813,2.36262741696889,0.5695921575327529,0.7,0.0
5,4.6706339948520705,1.1641981134918,959.2008082097333,192.17209939224722,0.77,1.2695242233790383,2.8666046974784356,6.763897400006667,1.4552939551817028,970.6521085138794,191.87612275439272,0.7699,1.0541277690140545,1.579531257827766,3.1413212897149516,0.45935152882787844,0.8899,0.0
6,5.606828399466828,1.0881122937666163,1399.7308092029923,215.9197708469933,1.1,1.4319883618200222,3.842700645055058,5.64863862730548,1.0890278415669556,1316.1657514533263,174.14581838911735,1.2001,1.1751252081486585,3.5402905944486847,1.7679877130662398,0.20263000547000973,1.0001,0.0
7,9.410179489971474,1.9679589184923352,1011.3059699611117,251.93991238349653,0.83,1.2189271592671866,4.319315868587825,5.783151532732598,1.2292625693430121,536.2614279044996,120.14731734544553,0.484,1.4753020486325732,3.284466684691805,2.370263318816889,0.5606045879407253,1.006,0.0
8,7.351642133774599,1.4121872582140456,1626.0114175835888,289.1729855442346,0.6,1.1511483064754393,6.1154294882490925,7.240325113270382,1.2583566394480197,1270.5133656515413,184.1813354064856,0.5299,0.861632089259948,5.1460953269312295,1.6275807631004906,0.7286010243447079,0.4299,0.0
9,6.359986339175225,1.3494585057702762,1059.1521439171834,168.73804668158826,1.2502,1.4187327032746946,3.3776562766010922,6.346697941793169,1.2133634362387329,1039.5065477382473,173.51602512637697,1.2998,0.7532031783550447,2.4731876377376656,2.0365655085447365,0.47921514864816994,1.2298,0.0
10,6.430982560357693,1.5452713894595598,842.7737823028975,175.04698960689143,0.2099,2.8043786790390133,4.795785971601939,6.340751168863517,1.502482279579936,831.4879977434945,172.330619954454,0.2701,1.9217119739845026,2.734844704793276,1.4614002033949478,0.4487768998432368,0.3301,1.0
11,5.353570647601675,0.7903922336744853,922.7000928515808,141.29458505142972,0.46,1.602317359184664,19.92590425280426,4.666993616446239,0.706691076995068,827.1776565553,114.89384314585297,0.43,1.5877317279909344,8.785112485953608,2.1323467074964393,0.7091560801664685,3.98,0.0
12,8.884093147301687,1.881716996519673,1112.2586269134981,277.7734219359295,0.89,1.1942394509677061,4.074051360374776,5.406441713715849,1.1838528677515527,609.4736076655277,130.76154424996054,1.0699,1.5073003451145326,5.542013088752579,2.6628790684360673,0.465173427856155,0.72804,0.0
13,8.884093147301687,1.881716996519673,1112.2586269134981,277.7734219359295,0.89,1.1942394509677061,4.074051360374776,5.42922104510852,1.241450448601544,470.95268075200016,97.70595975862115,0.7098,1.3915176795901056,4.252290125220945,2.2656339575326156,0.4566814635923134,1.01194,0.0
14,8.056535765668459,1.6840414828144517,1142.100944551466,257.95243325299714,0.9319999999999998,1.1036912707774493,4.33024039613872,6.165552016030772,1.461820302258438,464.3859923880487,115.42480013082886,0.29,2.278815158605161,1.4934411517458783,2.3680680775638416,0.45400220939034075,0.9959200000000001,1.0
15,8.056535765668459,1.6840414828144517,1142.100944551466,257.95243325299714,0.9319999999999998,1.103691270777449,4.33024039613872,5.058854541327223,1.2007897390192246,577.4642217257774,126.0891211423327,0.4798,0.8239771663194178,0.672209197355351,2.6141836438779427,0.5442206518871507,0.72608,1.0
16,4.640838395040186,0.7241352139909479,602.2568823773656,131.04887790945622,0.85,0.7838960015435984,6.550914134141465,5.649896725746915,0.8504093234744166,569.5675663078923,125.6900978594718,1.0101,0.8718351316457685,2.3565771917730785,2.661317825116018,0.4688790100436543,0.9801,1.0
17,7.3628954803425986,1.3693734824277997,950.8630662880128,212.9309380719638,0.67,2.7591424226536527,3.6197706212444203,6.697152969798143,1.4020558077103105,947.4676400081113,202.08415491434516,0.7599,2.222290405477077,1.1466653917251903,1.552920169833723,0.6157474277962047,1.2899,0.0
18,3.2589772120943525,0.7475351584249911,607.3161640852092,144.993179217565,0.5599,1.8748963610958234,2.065654177788416,4.118108744117596,0.9317608123027358,578.6391794238774,155.86892709434125,0.5201,1.5065380919533142,1.6183425306354593,3.1230777336663738,0.5806043996626562,0.6701,0.0
19,4.00104546182092,0.7750432766578335,450.7905981684424,121.24376436520592,1.46,1.2130717895530625,4.036490705387243,3.2258301404152574,0.692403851381702,441.7085256033414,116.24848009550742,1.6599,1.0803165546032671,3.587536665833556,2.2228735916854174,0.36718382579107184,1.9799,1.0
20,8.884093147301687,1.881716996519673,1112.2586269134981,277.7734219359295,0.89,1.1942394509677061,4.074051360374776,5.729198408647605,1.3807455368294266,576.3461541701296,139.86022422864028,0.4501,0.8168475710917398,0.6047204864858078,2.6141836438779427,0.5442206518871507,0.72608,0.0
21,8.884093147301687,1.881716996519673,1112.2586269134981,277.7734219359295,0.89,1.1942394509677061,4.074051360374776,5.237357068067897,1.316584939291709,601.968572326855,144.42821567023614,0.4698,1.786923637055501,3.829427357259906,2.6628790684360673,0.465173427856155,0.72804,0.0
22,8.884093147301687,1.881716996519673,1112.258626913498,277.7734219359295,0.89,1.1942394509677063,4.074051360374776,4.5994083409093225,1.1081699969104906,629.964134218259,145.92280950150575,0.5799,2.0663979178567113,6.075252649068018,2.4173700983936177,0.4702293924370064,0.84598,0.0
