mean_hr_post,rmssd_post,gsr_change_pct,delta_hr,mean_eeg_af7_post,participant_id,label
0.08939603385915688,0.0007116299600511411,0.06444989404144508,0.1552162126407211,-0.007200312162513001,P001,1
-0.02859287895335001,-0.02741369919203862,0.0381762188711491,-0.0059030918996541,-0.08772483766197184,P001,0
-0.03063865103840726,-0.03819371132585729,0.01692155660421122,-0.02930427484284337,-0.07444170782227957,P001,0
-0.025424850593572045,-0.01801910311469328,-0.007546537819780497,-0.04824158727556096,0.05028455636147555,P001,0
-0.018703448658834533,-0.03328461077671818,0.02329902098090315,0.056206331527209843,0.06830775198559422,P001,0
-0.035747609067493614,-0.018676480872363753,0.019361387245635343,-0.029852858605272557,-0.10408551929740498,P001,0
-0.027908881488565386,-0.03362376902186952,0.0084992452680126,-0.0006801261051350594,-0.14526948292696035,P001,0
0.0028128543959610396,-0.01498511029412839,0.014667182200537355,0.05929626047159218,0.1971840549927947,P001,1
-0.037837685116664944,-0.04231955396899138,0.029232927223756634,-0.03861606006471448,-0.1014492256149424,P001,0
-0.0016064417947745824,0.03284421453163304,0.041602949693788104,-0.005478259806159258,0.09772551299911356,P001,1
-0.03142374217541146,-0.04326525282976945,0.017697266889126696,-0.0534906346005755,-0.08401666669278711,P001,0
-0.027816231706037798,-0.014471154611601377,-0.031265000066241555,-0.05995552907738784,-0.10049990445249932,P001,0
-0.01899165088148038,0.019523233278914632,-0.03610365997169538,0.018097988555518897,-0.11531911908814436,P001,0
-0.025500604965145612,0.009919895259918122,-0.0172564965930178,-0.005615712709504806,-0.06977478746448469,P001,0
-0.00208759319384626,0.04039713841648336,-0.002701807229550468,0.026899104894118862,0.10569291409465223,P001,1
-0.022034945976884046,-0.03826990986967758,-0.021358137866809557,-0.06089671988243026,0.007237468326820817,P001,0
-0.021701018429212127,-0.004727230134358251,-0.03496668761895307,0.01580282514009923,-0.1402469472252051,P001,0
-0.040839623376996315,0.06347432548018332,-0.04059497146704416,-0.01805807573000493,-0.0364963806233618,P001,0
-0.05233935680871582,-0.028261896324875125,-0.031611412747315625,0.015586488465305592,0.045257130894970035,P001,0
-0.023036600675504816,-0.022644985581837317,-0.026964376391333644,-0.032329445770164965,0.0218049867231457,P001,0
-0.04129046686521178,-0.017017204023704834,-0.03785768352008745,-0.008734726239117663,0.05655986517249403,P001,0
-0.017543354249028198,-0.018044595546325582,-0.019657478096542037,0.015210497530142674,0.02210423763972358,P001,0
0.04481172537689417,-0.004014437409659876,0.0014354537356666697,0.06149369486638534,0.0944035036477544,P001,1
0.07271119877489127,0.08309454026048116,0.03554933661885116,0.12063177083207392,0.024793460874479933,P001,1
-0.0017789346232120807,0.016276227546450174,-0.016168759178799518,-0.10094998406725608,0.041425643010211385,P003,0
0.10261478205220556,0.057839164273991626,0.02677426436512178,0.026286153065075268,0.07207992193552855,P003,1
0.04856239530317907,-0.09541261681220022,-0.009425517269210103,0.013556029936580671,0.02956148553375897,P003,0
0.01771305269585355,-0.003732308664120865,0.022827071750725736,-0.04317899970635608,-0.09342328604561771,P003,0
0.006349026650877931,-0.0875666926078793,-0.005262169825346064,-0.06854700379985842,-0.06045139578263843,P003,0
0.012334693446337041,0.035658824615211415,0.052254193430962916,-0.0934155527421808,0.051863150773260716,P003,0
